epoch,accuracy,common_voice_val_auc,common_voice_val_eer,librispeech_val_auc,librispeech_val_eer,loss,lr,sitw_val_auc,sitw_val_eer,tcof_val_auc,tcof_val_eer,train_accuracy,train_loss,val_accuracy,val_loss
1,0.0,0.5,1,0.5,0.5,22.05800504721598,0.1,0.5,0.5,0.5,0.5,0.00104,7544140.047551029,0.0016165535079211122,7536141.432437086
2,0.0,0.5,1,0.5,0.5,21.67154290760607,0.1,0.5,0.5,0.5,0.5,0.0008,3913342.6141580525,0.0012932428063368898,3910038.865918588
3,0.0,0.5,1,0.5,0.5,21.512102056860066,0.1,0.5,0.5,0.5,0.5,0.00068,15250322.671721231,0.0012932428063368898,15237251.721152432
4,0.0,0.5,1,0.5,0.5,21.627881441000056,0.1,0.5,0.5,0.5,0.5,0.0012,2264714.98099752,0.0016165535079211122,2261709.564898447
5,0.0,0.5,1,0.5,0.5,18.001787427147274,0.1,0.5,0.5,0.5,0.5,0.00068,6.938284484018811,0.0016165535079211122,6.938284484017065
6,0.0,0.5,1,0.5,0.5,17.437314107956087,0.1,0.5,0.5,0.5,0.5,0.00128,6.938284484018811,0.0016165535079211122,6.938284484017065
7,0.0,0.5,1,0.5,0.5,17.437314107956087,0.1,0.5,0.5,0.5,0.5,0.00076,6.938284484018811,0.0016165535079211122,6.938284484017065
8,0.0,0.5,1,0.5,0.5,17.437314107956087,0.1,0.5,0.5,0.5,0.5,0.00068,6.938284484018811,0.0016165535079211122,6.938284484017065
9,0.0,0.5,1,0.5,0.5,17.437314107956087,0.1,0.5,0.5,0.5,0.5,0.00064,6.938284484018811,0.0016165535079211122,6.938284484017065
10,0.0,0.5,1,0.5,0.5,17.437314107956087,0.1,0.5,0.5,0.5,0.5,0.00096,6.938284484018811,0.0016165535079211122,6.938284484017065
