epoch,accuracy,librispeech_dev_clean_auc,librispeech_dev_clean_eer,loss,lr,sitw_eval_auc,sitw_eval_eer,train_accuracy,train_loss,val_accuracy,val_loss
1,0.0,0.5,0.5,39.63725692348774,0.5,0.5,0.5,0.0008802816901408451,92439.69122458901,0.0007664009809932557,92450.67678736923
2,0.0,0.5,0.5,39.9037514674022,0.5,0.5,0.5,0.0008002560819462228,25209.933327893275,0.0013028816676885345,25205.37730439763
3,0.0,0.5,0.5,40.11865191861337,0.5,0.5,0.5,0.0010403329065300896,14695.909150591106,0.0009196811771919068,14697.767691468354
4,0.0,0.5,0.5,40.16996267935203,0.5,0.5,0.5,4.001280409731114e-05,213708.56735972635,0.0,213758.37100180078
5,0.0,0.5,0.5,40.11793861849727,0.5,0.5,0.5,0.0003201024327784891,11176.681842577476,0.0009196811771919068,11168.617220922546
6,0.0,0.5,0.5,40.19486020065132,0.5,0.5,0.5,4.001280409731114e-05,4794.90387303136,7.664009809932556e-05,4793.841484805347
7,0.0,0.5,0.5,40.09613764937168,0.5,0.5,0.5,0.0,5376.1863575281595,0.0,5375.884548832829
8,0.0,0.5,0.5,40.16208038111444,0.5,0.5,0.5,0.0008802816901408451,260162.9015831538,0.0008430410790925812,260199.37740441767
9,0.0,0.5,0.5,40.19783281344949,0.5,0.5,0.5,0.0006802176696542894,22304.727009023998,0.0009196811771919068,22306.131631389013
10,0.0,0.5,0.5,40.17153694767866,0.5,0.5,0.5,0.0008002560819462228,145732.43797624807,0.0008430410790925812,145709.81952812197
1,0.0,0.5,0.5,39.847643025143036,0.5,0.5,0.5,0.000600192061459667,25880.07522108603,0.0009963212752912324,25862.8938219954
2,0.0,0.5,0.5,40.181502015924075,0.5,0.5,0.5,8.002560819462228e-05,51904.85556815711,0.0,51908.715239344994
3,0.0,0.5,0.5,40.13878991542411,0.5,0.5,0.5,0.0010403329065300896,172358.35659834757,0.0009963212752912324,172424.29834743252
4,0.0,0.5,0.5,40.17692386949353,0.5,0.5,0.5,0.0010403329065300896,29680.111735638427,0.0009196811771919068,29683.58397028779
5,0.0,0.5,0.5,40.19815153643991,0.5,0.5,0.5,0.000600192061459667,98241.27023603724,0.0007664009809932557,98243.48601747672
6,0.0,0.5,0.5,40.17593692655031,0.5,0.5,0.5,0.000600192061459667,52977.58558048442,0.0009196811771919068,52957.27654009287
7,0.0,0.5,0.5,33.597446836274095,0.05,0.5,0.5,4.001280409731114e-05,95097242.66857642,7.664009809932556e-05,95095160.06804752
8,0.0,0.5,0.5,33.48443683630902,0.05,0.5,0.5,8.002560819462228e-05,139815280.9146558,0.0,139813897.1492099
9,0.0,0.5,0.5,33.40402400576215,0.05,0.5,0.5,0.0,141480519.60973904,0.00015328019619865113,141455034.6203296
10,0.0,0.5,0.5,33.456789980841485,0.05,0.5,0.5,4.001280409731114e-05,136598756.53482568,0.00030656039239730225,136543245.33143485
1,0.0,0.5,0.5,39.82360615292664,0.5,0.5,0.5,0.0008402688860435339,205369.3001915673,0.001072961373390558,205316.0024874692
2,0.0,0.5,0.5,39.796697106677804,0.5,0.5,0.5,0.0008802816901408451,163168.8637075659,0.0007664009809932557,163217.0785773734
3,0.0,0.5,0.5,39.90378483776089,0.5,0.5,0.5,0.0006802176696542894,11862.61273171523,0.0009196811771919068,11867.845815674857
4,0.0,0.5,0.5,39.962615540232775,0.5,0.5,0.5,0.0013604353393085787,74166.64346016005,0.0007664009809932557,74222.16273957446
5,0.0,0.5,0.5,40.18615817426929,0.5,0.5,0.5,0.0010403329065300896,9094.181959488067,0.001072961373390558,9101.980898638281
6,0.0,0.5,0.5,40.2041495954411,0.5,0.5,0.5,4.001280409731114e-05,571510.1628828787,7.664009809932556e-05,571489.4821219412
7,0.0,0.5,0.5,40.20355888545705,0.5,0.5,0.5,4.001280409731114e-05,17421.6904183128,0.0,17407.295207267816
8,0.0,0.5,0.5,40.14633975777433,0.5,0.5,0.5,4.001280409731114e-05,55620.115029562985,0.0,55608.279402997745
9,0.0,0.5,0.5,40.15729052650051,0.5,0.5,0.5,0.0008002560819462228,48945.51625079168,0.0009196811771919068,48946.94458990285
10,0.0,0.5,0.5,40.1264351965025,0.5,0.5,0.5,0.0009202944942381563,4214.952889941053,0.0009196811771919068,4228.02540305168
